g1,g2,g3,g4,t1,t2,t3,t4,h,c1,c2,c3,c4
10.0,10.0,1.0,1.0,9.0,1.0,0.0,0.0,-36.12163309974011,7.705613249207603,0.8561792499119558,0.0,0.0
1.0,1.0,10.0,1.0,6.0,0.0,3.0,1.0,-9.335961201493106,0.0,0.0,2.5685377497358672,0.0
10.0,10.0,10.0,1.0,3.0,1.0,3.0,3.0,-24.6355511587683,2.5685377497358672,0.8561792499119558,2.5685377497358672,0.0
1.0,10.0,1.0,3.0,0.0,1.0,8.0,1.0,-9.210068029895396,0.0,0.8561792499119558,0.0,0.05910300000000024
1.0,1.0,1.0,5.0,0.0,0.0,9.0,1.0,-4.634754597395357,0.0,0.0,0.0,0.1950497505000004
10.0,1.0,1.0,5.0,9.0,0.0,0.0,1.0,-32.64644632484708,7.705613249207603,0.0,0.0,0.1950497505000004
10.0,10.0,1.0,5.0,3.0,1.0,5.0,1.0,-19.607074810829282,2.5685377497358672,0.8561792499119558,0.0,0.1950497505000004
10.0,5.0,10.0,5.0,3.0,2.0,4.0,1.0,-28.262743410814828,2.5685377497358672,0.3900995010000008,3.4247169996478233,0.1950497505000004
1.0,10.0,10.0,5.0,0.0,1.0,8.0,1.0,-28.308710944913877,0.0,0.8561792499119558,6.849433999295647,0.1950497505000004
10.0,10.0,10.0,5.0,3.0,1.0,5.0,1.0,-30.905209237172983,2.5685377497358672,0.8561792499119558,4.280896249559779,0.1950497505000004
