g1,g2,t1,t2,h,c1,c2
10.0,1.0,102.0,541.0,-456.9422693062702,87.3302834910195,0.0
10.0,1.0,170.0,473.0,-754.0727811774229,145.5504724850325,0.0
1.0,3.0,0.0,643.0,-93.10418007028852,0.0,38.003229000000154
10.0,5.0,34.0,609.0,-301.2809799033844,29.110094497006497,118.78529805450025
10.0,5.0,102.0,541.0,-574.7365696102403,87.3302834910195,105.52191502050022
10.0,5.0,238.0,405.0,-1149.0005452524208,203.7706614790455,78.99514895250016
10.0,5.0,306.0,337.0,-1450.4190450288768,261.99085047305846,65.73176591850013
1.0,10.0,306.0,337.0,-327.96369706988753,0.0,288.5324072203291
5.0,10.0,306.0,337.0,-843.0551721813158,59.68522365300012,288.5324072203291
10.0,10.0,306.0,337.0,-1539.472741449318,261.99085047305846,288.5324072203291
